rep,max_update,best_org_fitness,best_org_id,update,evaluations,test_estimations,found_solution,pop_training_coverage,max_approx_agg_score,num_unique_selected,entropy_selected_ids,parents_training_coverage,training_coverage_loss
248,200,75,0,200,10050000,0,0,100,75,301,8.05307,100,0
249,200,75,1,200,10050000,0,0,100,75,317,8.12605,100,0
250,200,76,1,200,10050000,0,0,100,76,307,8.1023,100,0
251,200,75,1,200,10050000,0,0,100,75,292,8.00407,100,0
252,200,78,45,200,10050000,0,0,100,78,266,7.81607,100,0
253,200,75,41,200,10050000,0,0,100,75,269,7.846,100,0
254,200,76,0,200,10050000,0,0,100,76,248,7.66666,100,0
255,200,78,1,200,10050000,0,0,100,78,300,8.06801,100,0
256,200,75,0,200,10050000,0,0,100,75,319,8.14466,100,0
257,200,75,0,200,10050000,0,0,100,75,315,8.13845,100,0
258,200,75,0,200,10050000,0,0,100,75,321,8.16789,100,0
259,200,75,0,200,10050000,0,0,100,75,320,8.14278,100,0
260,200,75,4,200,10050000,0,0,100,75,306,8.09196,100,0
261,200,75,1,200,10050000,0,0,100,75,306,8.08572,100,0
262,200,76,1,200,10050000,0,0,100,76,314,8.1098,100,0
263,200,78,2,200,10050000,0,0,100,78,286,7.97352,100,0
264,200,95,9,200,10050000,0,0,100,95,270,7.90768,100,0
265,200,75,1,200,10050000,0,0,100,75,317,8.1547,100,0
266,200,75,9,200,10050000,0,0,100,75,302,8.01456,100,0
267,200,75,0,200,10050000,0,0,100,75,323,8.17596,100,0
268,200,48,0,200,10050000,0,0,100,48,317,8.14152,100,0
269,200,77,29,200,10050000,0,0,100,77,279,7.89685,100,0
270,200,75,0,200,10050000,0,0,100,75,320,8.15433,100,0
271,200,88,0,200,10050000,0,0,100,88,275,7.90603,100,0
272,200,75,1,200,10050000,0,0,100,75,305,8.05683,100,0
273,200,48,3,200,10050000,0,0,100,48,317,8.14298,100,0
274,200,75,0,200,10050000,0,0,100,75,314,8.10912,100,0
275,200,75,0,200,10050000,0,0,100,75,322,8.1455,100,0
276,200,81,26,200,10050000,0,0,100,81,248,7.68725,100,0
277,200,85,0,200,10050000,0,0,100,85,295,8.02741,100,0
278,200,80,3,200,10050000,0,0,100,80,281,7.88608,100,0
279,200,85,0,200,10050000,0,0,100,85,286,7.98707,100,0
280,200,78,13,200,10050000,0,0,100,78,262,7.7871,100,0
281,200,75,2,200,10050000,0,0,100,75,302,8.06295,100,0
282,200,75,0,200,10050000,0,0,100,75,263,6.88601,100,0
283,200,76,0,200,10050000,0,0,100,76,326,8.19287,100,0
284,200,75,2,200,10050000,0,0,100,75,309,8.10605,100,0
285,200,75,2,200,10050000,0,0,100,75,324,8.17629,100,0
286,200,48,2,200,10050000,0,0,100,48,322,8.18653,100,0
287,200,83,16,200,10050000,0,0,100,83,274,7.87052,100,0
288,200,77,53,200,10050000,0,0,100,77,274,7.80237,100,0
289,200,81,28,200,10050000,0,0,100,81,260,7.728,100,0
290,200,75,0,200,10050000,0,0,100,75,315,8.13299,100,0
291,200,76,0,200,10050000,0,0,100,76,310,8.11083,100,0
292,200,85,16,200,10050000,0,0,100,85,259,7.74206,100,0
293,200,87,3,200,10050000,0,0,100,87,292,7.9907,100,0
294,200,75,0,200,10050000,0,0,100,75,309,8.12992,100,0
295,200,95,4,200,10050000,0,0,100,95,276,7.9026,100,0
296,200,75,0,200,10050000,0,0,100,75,312,8.1214,100,0
297,200,75,1,200,10050000,0,0,100,75,309,8.10323,100,0
298,200,91,0,200,10050000,0,0,100,91,304,8.07249,100,0
299,200,76,2,200,10050000,0,0,100,76,316,8.16351,100,0
300,200,80,32,200,10050000,0,0,100,80,259,7.75995,100,0
301,200,82,38,200,10050000,0,0,100,82,257,7.74048,100,0
302,200,75,4,200,10050000,0,0,100,75,314,8.12014,100,0
303,200,79,96,200,10050000,0,0,100,79,257,7.73595,100,0
304,200,75,0,200,10050000,0,0,100,75,310,8.11266,100,0
305,120,100,297,120,6050000,0,1,100,100,1,-0,100,0
306,200,82,32,200,10050000,0,0,100,82,235,7.57664,100,0
307,200,76,20,200,10050000,0,0,100,76,237,7.15942,100,0
308,200,77,20,200,10050000,0,0,100,77,284,7.89853,100,0
309,200,76,6,200,10050000,0,0,100,76,310,8.0985,100,0
310,200,75,1,200,10050000,0,0,100,75,317,8.13058,100,0
311,200,81,1,200,10050000,0,0,100,81,242,7.65776,100,0
312,200,76,0,200,10050000,0,0,100,76,313,8.12205,100,0
313,200,75,1,200,10050000,0,0,100,75,264,7.31092,100,0
314,200,83,3,200,10050000,0,0,100,83,246,7.68459,100,0
315,200,75,1,200,10050000,0,0,100,75,323,8.15805,100,0
316,200,75,0,200,10050000,0,0,100,75,309,8.08009,100,0
317,200,75,0,200,10050000,0,0,100,75,304,8.05516,100,0
318,200,76,0,200,10050000,0,0,100,76,310,8.09574,100,0
319,200,91,5,200,10050000,0,0,100,91,276,7.89205,100,0
320,200,76,6,200,10050000,0,0,100,76,265,7.78116,100,0
321,200,75,1,200,10050000,0,0,100,75,309,8.09548,100,0
322,200,82,0,200,10050000,0,0,100,82,250,7.46794,100,0
323,200,75,2,200,10050000,0,0,100,75,308,8.08354,100,0
324,200,75,2,200,10050000,0,0,100,75,300,8.06152,100,0
325,200,76,1,200,10050000,0,0,100,76,315,8.13996,100,0
326,200,76,0,200,10050000,0,0,100,76,313,8.10859,100,0
327,200,78,0,200,10050000,0,0,100,78,310,8.08989,100,0
328,200,81,21,200,10050000,0,0,100,81,250,7.74259,100,0
329,200,75,0,200,10050000,0,0,100,75,325,8.16482,100,0
330,200,75,1,200,10050000,0,0,100,75,327,8.19853,100,0
331,200,77,8,200,10050000,0,0,100,77,264,7.81728,100,0
332,200,92,2,200,10050000,0,0,100,92,251,7.54379,100,0
333,200,53,0,200,10050000,0,0,100,53,298,8.04026,100,0
334,200,75,0,200,10050000,0,0,100,75,282,7.94938,100,0
335,200,75,1,200,10050000,0,0,100,75,318,8.16572,100,0
336,200,77,22,200,10050000,0,0,100,77,264,7.78065,100,0
337,200,90,0,200,10050000,0,0,100,90,273,7.8701,100,0
338,200,89,7,200,10050000,0,0,100,89,253,7.72869,100,0
339,200,75,0,200,10050000,0,0,100,75,317,8.13903,100,0
340,200,86,0,200,10050000,0,0,100,86,318,8.16021,100,0
341,200,75,0,200,10050000,0,0,100,75,328,8.20082,100,0
342,200,75,4,200,10050000,0,0,100,75,275,7.74218,100,0
343,200,75,1,200,10050000,0,0,100,75,311,8.10572,100,0
344,200,75,0,200,10050000,0,0,100,75,304,8.08625,100,0
345,200,82,151,200,10050000,0,0,100,82,252,7.26022,100,0
346,200,76,0,200,10050000,0,0,100,76,307,8.08776,100,0
347,200,76,0,200,10050000,0,0,100,76,317,8.14743,100,0
348,200,88,2,200,10050000,0,0,100,88,260,7.76515,100,0
349,200,75,0,200,10050000,0,0,100,75,310,8.08874,100,0
350,200,76,0,200,10050000,0,0,100,76,310,8.12776,100,0
351,200,75,1,200,10050000,0,0,100,75,306,8.09234,100,0
352,200,78,50,200,10050000,0,0,100,78,251,7.65262,100,0
353,200,75,1,200,10050000,0,0,100,75,315,8.14678,100,0
354,200,81,83,200,10050000,0,0,100,81,270,7.82581,100,0
355,200,75,1,200,10050000,0,0,100,75,304,8.08698,100,0
356,200,86,0,200,10050000,0,0,100,86,303,8.0785,100,0
357,200,85,6,200,10050000,0,0,100,85,298,8.03561,100,0
358,200,91,3,200,10050000,0,0,100,91,199,6.48092,100,0
359,200,87,33,200,10050000,0,0,100,87,259,7.77857,100,0
360,200,79,178,200,10050000,0,0,100,79,264,7.71045,100,0
361,200,75,3,200,10050000,0,0,100,75,302,8.06157,100,0
362,200,76,1,200,10050000,0,0,100,76,308,8.1023,100,0
363,200,75,3,200,10050000,0,0,100,75,319,8.14474,100,0
364,200,75,1,200,10050000,0,0,100,75,315,8.13719,100,0
365,200,75,0,200,10050000,0,0,100,75,315,8.14474,100,0
366,200,75,1,200,10050000,0,0,100,75,310,8.09951,100,0
367,200,75,1,200,10050000,0,0,100,75,316,8.12401,100,0
368,200,48,1,200,10050000,0,0,100,48,301,8.06866,100,0
369,200,91,1,200,10050000,0,0,100,91,294,8.00995,100,0
370,200,89,2,200,10050000,0,0,100,89,270,7.78453,100,0
371,200,85,0,200,10050000,0,0,100,85,277,7.91288,100,0
372,200,75,12,200,10050000,0,0,100,75,265,7.76694,100,0
373,200,75,5,200,10050000,0,0,100,75,273,7.69276,100,0
374,200,75,0,200,10050000,0,0,100,75,304,8.06932,100,0
375,200,75,0,200,10050000,0,0,100,75,313,8.11508,100,0
376,200,75,2,200,10050000,0,0,100,75,327,8.17936,100,0
377,200,75,0,200,10050000,0,0,100,75,318,8.15825,100,0
378,200,75,0,200,10050000,0,0,100,75,305,8.09996,100,0
379,200,85,4,200,10050000,0,0,100,85,247,7.24254,100,0
380,200,75,0,200,10050000,0,0,100,75,293,7.94128,100,0
381,200,75,0,200,10050000,0,0,100,75,303,8.07128,100,0
382,200,75,0,200,10050000,0,0,100,75,305,8.07607,100,0
383,200,75,2,200,10050000,0,0,100,75,296,7.98539,100,0
384,200,75,2,200,10050000,0,0,100,75,313,8.1029,100,0
385,200,75,0,200,10050000,0,0,100,75,328,8.21131,100,0
386,200,75,0,200,10050000,0,0,100,75,302,8.06152,100,0
387,200,75,1,200,10050000,0,0,100,75,304,8.09037,100,0
388,200,75,0,200,10050000,0,0,100,75,319,8.178,100,0
389,200,77,6,200,10050000,0,0,100,77,272,7.51775,100,0
390,200,75,0,200,10050000,0,0,100,75,322,8.14736,100,0
391,200,75,0,200,10050000,0,0,100,75,304,8.08781,100,0
392,200,76,0,200,10050000,0,0,100,76,317,8.154,100,0
393,200,81,39,200,10050000,0,0,100,81,253,7.73294,100,0
394,200,85,1,200,10050000,0,0,100,85,245,7.479,100,0
395,200,75,2,200,10050000,0,0,100,75,318,8.13523,100,0
396,200,79,15,200,10050000,0,0,100,79,260,7.78983,100,0
397,200,75,1,200,10050000,0,0,100,75,306,8.07923,100,0
398,200,75,16,200,10050000,0,0,100,75,272,7.81431,100,0
399,200,79,15,200,10050000,0,0,100,79,265,7.79516,100,0
400,200,75,1,200,10050000,0,0,100,75,302,8.06512,100,0
401,200,48,0,200,10050000,0,0,100,48,319,8.15254,100,0
402,200,78,230,200,10050000,0,0,100,78,265,7.67202,100,0
403,200,85,1,200,10050000,0,0,100,85,273,7.88386,100,0
404,200,81,430,200,10050000,0,0,100,81,236,7.59947,100,0
405,200,75,1,200,10050000,0,0,100,75,311,8.10557,100,0
406,200,83,75,200,10050000,0,0,100,83,251,7.71123,100,0
407,200,85,1,200,10050000,0,0,100,85,285,7.97075,100,0
408,200,75,1,200,10050000,0,0,100,75,306,8.07817,100,0
409,200,75,4,200,10050000,0,0,100,75,322,8.16874,100,0
410,200,75,3,200,10050000,0,0,100,75,302,8.04565,100,0
411,200,88,10,200,10050000,0,0,100,88,262,7.82982,100,0
412,200,75,0,200,10050000,0,0,100,75,303,8.07483,100,0
413,200,76,0,200,10050000,0,0,100,76,308,8.10429,100,0
414,200,77,29,200,10050000,0,0,100,77,261,7.75405,100,0
415,200,80,24,200,10050000,0,0,100,80,269,7.83412,100,0
416,200,80,3,200,10050000,0,0,100,80,260,7.74479,100,0
417,200,75,0,200,10050000,0,0,100,75,307,8.08557,100,0
418,200,76,12,200,10050000,0,0,100,76,240,7.64854,100,0
419,200,78,2,200,10050000,0,0,100,78,268,7.63004,100,0
420,200,75,1,200,10050000,0,0,100,75,310,8.10809,100,0
421,200,75,2,200,10050000,0,0,100,75,299,8.06874,100,0
422,200,77,20,200,10050000,0,0,100,77,279,7.90019,100,0
423,200,75,0,200,10050000,0,0,100,75,310,8.12547,100,0
424,200,48,0,200,10050000,0,0,100,48,317,8.15005,100,0
425,200,75,3,200,10050000,0,0,100,75,275,7.78131,100,0
426,200,75,2,200,10050000,0,0,100,75,313,8.11161,100,0
427,200,87,3,200,10050000,0,0,100,87,297,8.0347,100,0
428,200,79,110,200,10050000,0,0,100,79,263,7.79255,100,0
429,200,75,0,200,10050000,0,0,100,75,318,8.15299,100,0
430,200,75,0,200,10050000,0,0,100,75,293,8.0141,100,0
431,200,75,1,200,10050000,0,0,100,75,314,8.11752,100,0
432,200,86,7,200,10050000,0,0,100,86,293,7.99697,100,0
433,200,75,0,200,10050000,0,0,100,75,312,8.11531,100,0
434,200,75,5,200,10050000,0,0,100,75,318,8.13956,100,0
435,200,75,0,200,10050000,0,0,100,75,311,8.12225,100,0
436,200,75,1,200,10050000,0,0,100,75,324,8.19053,100,0
437,200,75,0,200,10050000,0,0,100,75,295,8.02944,100,0
438,200,77,4,200,10050000,0,0,100,77,253,7.54933,100,0
439,200,75,0,200,10050000,0,0,100,75,319,8.15923,100,0
440,200,75,0,200,10050000,0,0,100,75,305,8.06361,100,0
441,200,94,0,200,10050000,0,0,100,94,278,7.9011,100,0
442,200,76,0,200,10050000,0,0,100,76,310,8.09108,100,0
443,200,85,1,200,10050000,0,0,100,85,259,7.72233,100,0
444,200,75,0,200,10050000,0,0,100,75,317,8.16135,100,0
445,200,75,1,200,10050000,0,0,100,75,313,8.1269,100,0
446,200,75,0,200,10050000,0,0,100,75,281,7.80704,100,0
447,200,75,1,200,10050000,0,0,100,75,306,8.08834,100,0
448,200,76,0,200,10050000,0,0,100,76,317,8.12985,100,0
449,200,78,0,200,10050000,0,0,100,78,310,8.09418,100,0
450,200,75,1,200,10050000,0,0,100,75,323,8.18796,100,0
451,200,76,0,200,10050000,0,0,100,76,297,8.02781,100,0
452,200,90,6,200,10050000,0,0,100,90,278,7.95344,100,0
453,200,75,1,200,10050000,0,0,100,75,310,8.11005,100,0
454,200,75,0,200,10050000,0,0,100,75,311,8.11098,100,0
455,200,75,3,200,10050000,0,0,100,75,314,8.1175,100,0
456,200,77,41,200,10050000,0,0,100,77,263,7.8331,100,0
457,172,100,164,172,8650000,0,1,100,100,283,7.95797,100,0
458,200,75,2,200,10050000,0,0,100,75,316,8.15196,100,0
459,200,75,0,200,10050000,0,0,100,75,315,8.1387,100,0
460,200,75,0,200,10050000,0,0,100,75,316,8.13727,100,0
461,200,75,0,200,10050000,0,0,100,75,303,8.06572,100,0
462,200,75,0,200,10050000,0,0,100,75,322,8.15327,100,0
463,200,75,1,200,10050000,0,0,100,75,319,8.14474,100,0
464,200,76,1,200,10050000,0,0,100,76,310,8.1025,100,0
465,200,75,0,200,10050000,0,0,100,75,317,8.1456,100,0
466,200,93,1,200,10050000,0,0,100,93,297,8.04401,100,0
467,200,85,1,200,10050000,0,0,100,85,276,7.91983,100,0
468,200,75,1,200,10050000,0,0,100,75,315,8.1338,100,0
469,200,75,2,200,10050000,0,0,100,75,318,8.16082,100,0
470,200,75,0,200,10050000,0,0,100,75,319,8.16238,100,0
471,200,75,1,200,10050000,0,0,100,75,316,8.14132,100,0
472,200,75,0,200,10050000,0,0,100,75,319,8.14625,100,0
473,200,88,12,200,10050000,0,0,100,88,264,7.73456,100,0
474,200,79,121,200,10050000,0,0,100,79,263,7.80809,100,0
475,200,77,50,200,10050000,0,0,100,77,267,7.80901,100,0
476,200,75,0,200,10050000,0,0,100,75,313,8.1336,100,0
477,,,,
478,200,78,0,200,10050000,0,0,100,78,307,8.10592,100,0
479,200,84,26,200,10050000,0,0,100,84,269,7.84681,100,0
480,200,75,0,200,10050000,0,0,100,75,315,8.12381,100,0
481,200,75,0,200,10050000,0,0,100,75,310,8.11025,100,0
482,200,75,3,200,10050000,0,0,100,75,316,8.13438,100,0
483,200,77,22,200,10050000,0,0,100,77,273,7.8487,100,0
484,200,76,0,200,10050000,0,0,100,76,313,8.12348,100,0
485,200,75,0,200,10050000,0,0,100,75,310,8.09568,100,0
486,200,75,0,200,10050000,0,0,100,75,313,8.12499,100,0
487,200,75,0,200,10050000,0,0,100,75,312,8.11792,100,0
488,200,75,0,200,10050000,0,0,100,75,298,8.03143,100,0
489,200,75,0,200,10050000,0,0,100,75,322,8.15544,100,0
490,200,77,20,200,10050000,0,0,100,77,236,7.41721,100,0
491,200,75,0,200,10050000,0,0,100,75,249,6.0215,100,0
492,200,92,3,200,10050000,0,0,100,92,280,7.95213,100,0
493,200,87,1,200,10050000,0,0,100,87,277,7.89558,100,0
494,200,81,36,200,10050000,0,0,100,81,269,7.86759,100,0
495,200,48,0,200,10050000,0,0,100,48,309,8.10059,100,0
496,200,75,4,200,10050000,0,0,100,75,288,7.96562,100,0
497,200,79,27,200,10050000,0,0,100,79,254,7.64893,100,0
498,200,78,31,200,10050000,0,0,100,78,277,7.88412,100,0
499,200,76,4,200,10050000,0,0,100,76,314,8.13209,100,0
500,200,75,1,200,10050000,0,0,100,75,300,8.03305,100,0
